GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flink-cdc,com.shuqing.bigdata.flinkcdc.kafka,TopicNamingStrategy.MultiTenantStrategy,3,35,0,0,1,7,1,3,1,3
flink-cdc,com.shuqing.bigdata.flinkcdc.kafka,TopicNamingStrategy.DefaultStrategy,0,25,0,0,0,5,0,3,0,3
flink-cdc,com.shuqing.bigdata.flinkcdc.kafka,TopicNamingStrategy,0,187,4,42,0,35,4,26,0,7
flink-cdc,com.shuqing.bigdata.flinkcdc.kafka,KafkaTopicManager.Builder,0,136,0,10,0,37,0,15,0,10
flink-cdc,com.shuqing.bigdata.flinkcdc.kafka,TopicNamingStrategy.PrefixedStrategy,7,31,0,0,2,6,2,2,2,2
flink-cdc,com.shuqing.bigdata.flinkcdc.kafka,KafkaTopicManager,7,595,11,33,0,139,11,28,0,17
flink-cdc,com.shuqing.bigdata.flinkcdc,ChangeRecordJsonSerializer,40,251,7,25,7,55,7,19,0,7
flink-cdc,com.shuqing.bigdata.flinkcdc,CdcFramework,200,102,9,3,46,30,17,15,11,14
flink-cdc,com.shuqing.bigdata.flinkcdc,CdcFramework.Builder,6,86,0,0,2,23,1,7,1,7
flink-cdc,com.shuqing.bigdata.flinkcdc.source,PostgresSourceConfig.DecodingPlugin,0,75,0,4,0,14,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.source,MySqlSourceConnector,100,108,10,24,21,21,11,12,2,3
flink-cdc,com.shuqing.bigdata.flinkcdc.source,OracleSourceConfig,26,265,11,15,5,49,13,22,2,20
flink-cdc,com.shuqing.bigdata.flinkcdc.source,MySqlSourceConnector.ChangeRecordDeserializer,83,0,6,0,21,0,7,0,4,0
flink-cdc,com.shuqing.bigdata.flinkcdc.source,OracleSourceConnector.ChangeRecordDeserializer,0,83,0,6,0,21,0,7,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.source,PostgresSourceConnector,0,245,6,34,0,50,6,20,0,5
flink-cdc,com.shuqing.bigdata.flinkcdc.source,OracleSourceConnector,0,228,6,30,0,46,6,18,0,5
flink-cdc,com.shuqing.bigdata.flinkcdc.source,OracleSourceConfig.Builder,12,139,2,4,2,36,2,17,0,16
flink-cdc,com.shuqing.bigdata.flinkcdc.source,SourceConfig.StartupMode,0,81,0,4,0,15,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.source,PostgresSourceConfig,22,256,10,14,3,47,11,21,1,19
flink-cdc,com.shuqing.bigdata.flinkcdc.source,OracleSourceConfig.LogMinerOption,0,68,0,4,0,13,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.source,SourceConfig.SourceType,0,21,0,0,0,4,0,1,0,1
flink-cdc,com.shuqing.bigdata.flinkcdc.source,PostgresSourceConnector.ChangeRecordDeserializer,0,83,0,6,0,21,0,7,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.source,SourceConfig,9,497,20,39,2,93,21,50,1,40
flink-cdc,com.shuqing.bigdata.flinkcdc.source,SourceConnectorFactory,31,150,9,14,8,34,11,10,3,5
flink-cdc,com.shuqing.bigdata.flinkcdc.source,SourceConfig.Builder,0,99,0,0,0,31,0,16,0,16
flink-cdc,com.shuqing.bigdata.flinkcdc.source,PostgresSourceConfig.Builder,5,115,1,1,1,31,1,15,0,15
flink-cdc,com.shuqing.bigdata.flinkcdc.debezium,DebeziumChangeRecord,19,208,11,21,6,49,9,22,0,15
flink-cdc,com.shuqing.bigdata.flinkcdc.debezium,DebeziumDeserializer,20,530,5,56,3,133,5,46,0,17
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.IcebergSinkWriterStub,12,0,0,0,7,0,5,0,5,0
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.SchemaEvolutionMode,0,74,0,4,0,14,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,KafkaSinkConnector.Builder,0,133,3,3,0,32,3,12,0,12
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,KafkaSinkConnector.DebeziumJsonSerializationSchema,0,10,0,2,0,4,0,3,0,2
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,KafkaSinkConnector.SerializationFormat,0,74,0,4,0,14,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector,51,888,13,134,13,191,18,107,5,42
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,KafkaSinkConnector.AvroSerializationSchemaPlaceholder,2,8,1,1,1,3,1,2,0,2
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,SinkConfig.SinkType,0,21,0,0,0,4,0,1,0,1
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,SinkConfig.WriteMode,0,73,0,6,0,13,0,7,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.Builder,4,348,4,10,1,87,4,32,0,29
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.WriteMode,0,67,0,4,0,13,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.IcebergSinkStub,15,0,0,0,5,0,3,0,3,0
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,KafkaSinkConnector,132,156,18,18,28,38,13,22,3,14
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,SinkConfig,0,301,11,19,0,64,11,34,0,30
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.SchemaChangeType,0,45,0,0,0,8,0,1,0,1
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.CatalogType,0,81,0,4,0,15,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.CompactionPlan,0,64,0,2,0,15,0,8,0,7
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.CompactionTrigger,0,88,0,4,0,16,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.DistributionMode,0,74,0,4,0,14,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.sink,IcebergSinkConnector.UpsertAction,0,27,0,0,0,5,0,1,0,1
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,TwoPhaseCommitCoordinator.Builder,0,49,0,0,0,11,0,5,0,5
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,CheckpointBarrierHandler,0,264,0,14,0,68,0,20,0,13
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,TransactionalSink.TransactionException,25,0,0,0,10,0,4,0,4,0
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,IdempotentWriter,51,514,16,53,20,121,16,40,1,19
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,TransactionalSink,16,0,2,0,4,0,2,0,1,0
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,ExactlyOnceConfig.Builder,0,132,0,0,0,32,0,13,0,13
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,TwoPhaseCommitCoordinator,40,384,7,20,12,98,10,24,4,15
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,TwoPhaseCommitCoordinator.TransactionMetadata,0,44,0,0,0,13,0,7,0,7
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,ExactlyOnceConfig.IdempotentStrategy,0,74,0,4,0,14,0,6,0,4
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,IdempotentWriter.Builder,4,125,3,7,1,29,3,10,0,8
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,TransactionalSink.TransactionStatus,0,39,0,0,0,7,0,1,0,1
flink-cdc,com.shuqing.bigdata.flinkcdc.exactlyonce,ExactlyOnceConfig,4,166,7,17,1,39,6,21,0,15
