GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lineage-analyzer,com.shuqing.bigdata.governance.lineage.controller,LineageController,12,88,2,4,2,19,3,8,1,7
lineage-analyzer,com.shuqing.bigdata.governance.lineage.controller,HealthController,13,38,0,0,4,9,1,2,1,2
lineage-analyzer,com.shuqing.bigdata.governance.lineage.controller,LineageController.AnalyzeRequest,0,17,0,0,0,7,0,5,0,5
lineage-analyzer,com.shuqing.bigdata.governance.lineage.analyzer,ColumnLineageExtractor,128,607,61,97,37,127,53,43,1,15
lineage-analyzer,com.shuqing.bigdata.governance.lineage.analyzer,ColumnLineageExtractor.ColumnRef,0,9,0,0,0,4,0,1,0,1
lineage-analyzer,com.shuqing.bigdata.governance.lineage.analyzer,LineageRelation.RelationType,0,15,0,0,0,3,0,1,0,1
lineage-analyzer,com.shuqing.bigdata.governance.lineage.analyzer,TableLineageExtractor,70,254,19,43,19,58,16,26,2,8
lineage-analyzer,com.shuqing.bigdata.governance.lineage.analyzer,LineageRelation,78,64,10,2,12,20,11,7,6,6
lineage-analyzer,com.shuqing.bigdata.governance.lineage.service,NebulaGraphClient,447,0,34,0,104,0,28,0,11,0
lineage-analyzer,com.shuqing.bigdata.governance.lineage.service,LineageQueryService.BfsNode,0,12,0,0,0,5,0,1,0,1
lineage-analyzer,com.shuqing.bigdata.governance.lineage.service,LineageQueryService.BfsResult,0,9,0,0,0,4,0,1,0,1
lineage-analyzer,com.shuqing.bigdata.governance.lineage.service,LineageGraphWriter,96,296,22,20,15,61,15,20,1,13
lineage-analyzer,com.shuqing.bigdata.governance.lineage.service,LineageQueryService,40,309,10,16,9,54,10,10,0,7
lineage-analyzer,com.shuqing.bigdata.governance.lineage.service,LineageAnalyzerService,14,287,3,15,4,60,3,13,0,7
