GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
metadata-collector,com.shuqing.bigdata.governance.collector.controller,CollectorController,169,165,16,6,33,41,15,14,5,13
metadata-collector,com.shuqing.bigdata.governance.collector.controller,HealthController,0,33,0,0,0,7,0,2,0,2
metadata-collector,com.shuqing.bigdata.governance.collector.security,JwtAuthFilter,0,125,1,9,0,38,1,9,0,5
metadata-collector,com.shuqing.bigdata.governance.collector.security,TenantContext,0,30,0,0,0,11,0,6,0,6
metadata-collector,com.shuqing.bigdata.governance.collector.security,SecurityConfig,1,159,1,1,0,26,1,9,0,9
metadata-collector,com.shuqing.bigdata.governance.collector.collector,DorisMetadataCollector,51,201,25,23,10,45,21,10,0,7
metadata-collector,com.shuqing.bigdata.governance.collector.collector,AbstractJdbcMetadataCollector,90,423,12,30,23,110,12,24,1,14
metadata-collector,com.shuqing.bigdata.governance.collector.collector,FileSystemMetadataCollector,61,481,14,20,17,101,13,15,1,10
metadata-collector,com.shuqing.bigdata.governance.collector.collector,HiveMetadataCollector,6,53,4,6,1,15,4,7,0,6
metadata-collector,com.shuqing.bigdata.governance.collector.collector,KafkaMetadataCollector,79,369,12,6,18,72,9,11,2,9
metadata-collector,com.shuqing.bigdata.governance.collector.service,CollectionSchedulerService,480,72,46,2,109,17,35,4,12,3
metadata-collector,com.shuqing.bigdata.governance.collector.service,MetadataWriterService,93,197,13,21,22,51,12,12,0,7
